Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5
264,6,25,28,30,34
265,14,16,20,26,28
266,6,12,21,22,23
267,8,9,26,29,31
268,4,7,11,18,22
269,8,12,16,18,25
270,5,14,19,27,31
271,1,2,3,5,11
272,3,18,19,21,24
273,4,13,15,20,24
274,14,16,22,27,30
275,6,10,13,15,25
276,6,9,12,15,17
277,5,17,20,28,33
278,17,19,25,30,33
279,2,11,24,26,30
280,6,9,10,29,33
281,1,4,7,16,24
282,4,8,17,28,29
283,3,12,15,18,30
284,3,12,15,16,32
285,11,12,16,21,29
286,3,7,16,31,34
287,5,15,26,29,31
288,1,4,6,21,28
289,3,6,26,28,31
290,2,8,24,25,28
291,2,7,27,29,31
292,2,6,12,26,34
293,9,20,26,30,32
294,9,12,19,22,35
295,11,13,20,29,34
296,5,13,15,22,23
297,4,7,12,32,35
298,7,13,18,25,31
299,3,11,18,20,35
300,7,9,14,18,21
301,1,2,4,12,19
302,2,3,4,9,17
303,11,14,17,22,33
304,8,12,24,30,33
305,4,10,16,19,34
306,2,14,15,26,30
307,1,5,18,31,32
308,1,6,19,24,27
309,4,7,10,26,33
310,13,14,15,17,21
311,3,5,7,11,25
312,2,4,5,10,35
313,9,15,18,29,33
314,3,20,24,29,33
315,1,22,28,29,35
316,5,7,16,19,21
317,7,8,10,22,28
318,2,4,9,13,22
319,4,22,25,26,34
320,2,6,8,13,15
321,10,23,28,31,32
322,16,24,27,29,30
323,1,6,9,19,31
324,1,16,24,32,35
325,1,2,5,20,33
326,2,4,6,22,26
327,12,23,24,27,33
328,1,7,13,14,22
329,5,6,7,18,19
330,3,7,23,26,33
331,1,6,11,22,25
332,1,2,8,22,33
333,4,18,23,29,32
334,10,13,22,27,29
335,4,5,20,27,35
336,4,15,16,19,26
337,2,8,9,17,19
338,9,15,17,23,27
339,1,3,23,33,34
340,2,5,12,24,30
341,1,6,18,19,21
342,3,9,14,18,26
343,2,16,17,32,34
344,3,7,8,22,29
345,4,8,15,20,21
346,5,6,15,24,25
347,1,5,16,18,28
348,18,27,28,31,34
349,2,14,18,26,29
350,7,13,14,21,22
351,1,14,21,24,35
352,17,19,24,26,30
353,2,11,18,20,34
354,3,7,10,26,35
355,3,6,10,27,30
356,10,23,24,26,34
357,4,8,22,24,29
358,1,7,16,20,31
359,1,2,10,12,19
360,8,9,15,19,21
361,13,19,20,30,33
362,6,7,11,26,34
363,8,12,13,23,31
364,1,6,17,18,28
365,5,6,17,21,30
366,16,17,18,28,34
367,2,4,7,29,35
368,12,16,19,28,29
369,11,18,25,26,35
370,7,11,22,24,27
371,6,16,22,27,33
372,19,22,26,30,34
373,13,17,21,24,31
374,5,11,14,27,31
375,2,8,17,19,24
376,3,9,17,21,30
377,10,13,23,32,35
378,8,10,15,20,26
379,12,13,19,23,27
380,4,18,21,25,31
381,8,10,22,25,31
382,9,14,16,27,34
383,5,6,8,12,33
384,1,12,23,32,33
385,4,5,9,21,27
386,2,9,12,26,29
387,2,3,11,13,17
388,2,5,6,13,28
389,6,22,27,29,32
390,2,10,21,23,33
391,1,4,8,13,15
392,1,3,23,25,33
393,19,20,25,29,34
394,11,19,24,29,34
395,12,15,16,26,29
396,5,12,22,32,34
397,6,14,23,28,30
398,8,13,25,26,32
399,1,7,12,28,35
400,13,16,21,23,28
401,1,5,19,27,32
402,2,13,16,19,26
403,5,12,19,22,29
404,2,9,16,22,32
405,4,7,11,27,28
406,1,3,5,20,29
407,3,4,8,22,25
408,1,3,5,6,14
409,2,3,23,26,33
410,7,14,17,20,22
411,1,4,11,13,27
