iter	Passed	Remaining
384	6608	10556
385	6625	10539
386	6642	10521
387	6659	10503
388	6675	10485
389	6692	10467
390	6709	10450
391	6726	10432
392	6743	10414
393	6759	10397
394	6777	10380
395	6793	10362
396	6810	10344
397	6827	10327
398	6844	10310
399	6861	10292
400	6878	10274
401	6895	10257
402	6912	10240
403	6929	10223
404	6946	10205
405	6963	10187
406	6980	10170
407	6997	10152
408	7013	10134
409	7030	10117
410	7047	10099
411	7063	10081
412	7080	10063
413	7098	10047
414	7115	10030
415	7132	10012
416	7149	9995
417	7165	9977
418	7182	9959
419	7199	9941
420	7216	9924
421	7233	9906
422	7250	9890
423	7267	9873
424	7287	9859
425	7304	9842
426	7321	9824
427	7337	9806
428	7354	9789
429	7372	9772
430	7389	9755
431	7406	9737
432	7423	9720
433	7440	9703
434	7457	9685
435	7474	9668
436	7490	9650
437	7508	9633
438	7525	9616
439	7542	9599
440	7558	9581
441	7576	9564
442	7593	9547
443	7610	9530
444	7627	9512
445	7644	9495
446	7663	9481
447	7682	9465
448	7700	9450
449	7718	9433
450	7736	9417
451	7754	9401
452	7772	9385
453	7791	9369
454	7809	9353
455	7828	9339
456	7846	9322
457	7864	9306
458	7882	9290
459	7900	9274
460	7918	9258
461	7936	9242
462	7955	9226
463	7972	9210
464	7991	9194
465	8010	9178
466	8028	9163
467	8047	9147
468	8067	9134
469	8088	9121
470	8108	9107
471	8128	9092
472	8148	9078
473	8167	9063
474	8185	9047
475	8205	9033
476	8224	9017
477	8243	9002
478	8262	8987
479	8282	8973
480	8301	8957
481	8320	8941
482	8340	8927
483	8359	8912
484	8378	8896
485	8397	8881
486	8416	8865
487	8435	8850
488	8453	8834
489	8473	8818
490	8492	8804
491	8511	8788
492	8530	8772
493	8548	8756
494	8568	8741
495	8589	8727
496	8608	8712
497	8627	8696
498	8645	8680
499	8665	8665
500	8684	8649
501	8703	8633
502	8721	8617
503	8739	8600
504	8758	8585
505	8777	8569
506	8795	8552
507	8815	8537
508	8835	8522
509	8855	8507
510	8875	8493
511	8896	8479
512	8915	8463
513	8935	8449
514	8955	8434
515	8978	8421
516	9002	8410
